Season,Name,Team,playerid
2002,Barry Bonds,Giants,1109
2004,Barry Bonds,Giants,1109
2003,Barry Bonds,Giants,1109
2015,Bryce Harper,Nationals,11579
2003,Albert Pujols,Cardinals,1177
2002,Jim Thome,Indians,409
2002,Manny Ramirez,Red Sox,210
2008,Albert Pujols,Cardinals,1177
2013,Miguel Cabrera,Tigers,1744
2004,Todd Helton,Rockies,432
2003,Todd Helton,Rockies,432
2006,Travis Hafner,Indians,1573
2007,David Ortiz,Red Sox,745
2009,Albert Pujols,Cardinals,1177
2006,Albert Pujols,Cardinals,1177
2008,Chipper Jones,Braves,97
2010,Josh Hamilton,Rangers,1875
2007,Alex Rodriguez,Yankees,1274
2002,Brian Giles,Pirates,990
2005,Derrek Lee,Cubs,525
2011,Jose Bautista,Blue Jays,1887
2004,Albert Pujols,Cardinals,1177
2002,Jason Giambi,Yankees,818
2009,Joe Mauer,Twins,1857
2007,Magglio Ordonez,Tigers,248
2010,Joey Votto,Reds,4314
2011,Miguel Cabrera,Tigers,1744
2006,Ryan Howard,Phillies,2154
2006,Manny Ramirez,Red Sox,210
2004,Jim Edmonds,Cardinals,1153
2005,Alex Rodriguez,Yankees,1274
2007,Chipper Jones,Braves,97
2002,Larry Walker,Rockies,455
2008,Manny Ramirez,- - -,210
2005,Albert Pujols,Cardinals,1177
2010,Miguel Cabrera,Tigers,1744
2007,Carlos Pena,Devil Rays,934
2003,Gary Sheffield,Braves,114
2004,Lance Berkman,Astros,548
2004,J.D. Drew,Braves,1152
2007,Matt Holliday,Rockies,1873
2006,David Ortiz,Red Sox,745
2015,Joey Votto,Reds,4314
2006,Lance Berkman,Astros,548
2011,Ryan Braun,Brewers,3410
2002,Alex Rodriguez,Rangers,1274
2008,Milton Bradley,Rangers,369
2003,Carlos Delgado,Blue Jays,1297
2004,Adrian Beltre,Dodgers,639
2013,Mike Trout,Angels,10155
2005,Travis Hafner,Indians,1573
2004,Scott Rolen,Cardinals,970
2005,Jason Giambi,Yankees,818
2009,Prince Fielder,Brewers,4613
2010,Jose Bautista,Blue Jays,1887
2004,Melvin Mora,Orioles,157
2003,Manny Ramirez,Red Sox,210
2006,Jim Thome,White Sox,409
2002,Todd Helton,Rockies,432
2013,Chris Davis,Orioles,9272
2016,David Ortiz,Red Sox,745
2007,Albert Pujols,Cardinals,1177
2002,Vladimir Guerrero,Expos,778
2007,Chase Utley,Phillies,1679
2007,Prince Fielder,Brewers,4613
2010,Albert Pujols,Cardinals,1177
2005,David Ortiz,Red Sox,745
2016,Mike Trout,Angels,10155
2009,Joey Votto,Reds,4314
2006,Jermaine Dye,White Sox,911
2007,Jorge Posada,Yankees,841
2004,Travis Hafner,Indians,1573
2015,Paul Goldschmidt,Diamondbacks,9218
2003,Jim Edmonds,Cardinals,1153
2012,Miguel Cabrera,Tigers,1744
2008,Lance Berkman,Astros,548
2010,Paul Konerko,White Sox,242
2004,Manny Ramirez,Red Sox,210
2003,Alex Rodriguez,Rangers,1274
2005,Todd Helton,Rockies,432
2002,Sammy Sosa,Cubs,302
2006,Miguel Cabrera,Marlins,1744
2002,Magglio Ordonez,White Sox,248
2002,Mike Sweeney,Royals,634
2015,Mike Trout,Angels,10155
2008,Carlos Quentin,White Sox,6274
2002,Jim Edmonds,Cardinals,1153
2007,David Wright,Mets,3787
2015,Miguel Cabrera,Tigers,1744
2004,Bobby Abreu,Phillies,945
2012,Ryan Braun,Brewers,3410
2016,Joey Votto,Reds,4314
2009,Kevin Youkilis,Red Sox,1935
2011,Matt Kemp,Dodgers,5631
2010,Carlos Gonzalez,Rockies,7287
2009,Derrek Lee,Cubs,525
2003,Trot Nixon,Red Sox,204
2007,Jim Thome,White Sox,409
2002,Chipper Jones,Braves,97
2014,Andrew McCutchen,Pirates,9847
2002,Lance Berkman,Astros,548
2014,Victor Martinez,Tigers,393
2005,Manny Ramirez,Red Sox,210
2004,Vladimir Guerrero,Angels,778
2014,Jose Abreu,White Sox,15676
2006,Matt Holliday,Rockies,1873
2011,Prince Fielder,Brewers,4613
2008,Mark Teixeira,- - -,1281
2008,Alex Rodriguez,Yankees,1274
2008,Matt Holliday,Rockies,1873
2006,Garrett Atkins,Rockies,1790
2012,Mike Trout,Angels,10155
2016,Daniel Murphy,Nationals,4316
2008,Ryan Ludwick,Cardinals,1260
2006,Carlos Beltran,Mets,589
2004,David Ortiz,Red Sox,745
2011,Lance Berkman,Cardinals,548
2005,Carlos Delgado,Marlins,1297
2011,Adrian Gonzalez,Red Sox,1908
2009,Ben Zobrist,Rays,7435
2011,David Ortiz,Red Sox,745
2007,Mark Teixeira,- - -,1281
2009,Hanley Ramirez,Marlins,8001
2005,Jason Bay,Pirates,1717
2006,Jason Giambi,Yankees,818
2010,Troy Tulowitzki,Rockies,3531
2012,Buster Posey,Giants,9166
2008,Kevin Youkilis,Red Sox,1935
2011,Joey Votto,Reds,4314
2007,Hanley Ramirez,Marlins,8001
2005,Mark Teixeira,Rangers,1281
2002,Albert Pujols,Cardinals,1177
2006,Nick Johnson,Nationals,828
2003,Frank Thomas,White Sox,255
2013,Paul Goldschmidt,Diamondbacks,9218
2003,Brian Giles,- - -,990
2009,Adrian Gonzalez,Padres,1908
2009,Ryan Braun,Brewers,3410
2007,Miguel Cabrera,Marlins,1744
2014,Giancarlo Stanton,Marlins,4949
2008,Hanley Ramirez,Marlins,8001
2016,Josh Donaldson,Blue Jays,5038
2012,Andrew McCutchen,Pirates,9847
2013,Jayson Werth,Nationals,1327
2014,Mike Trout,Angels,10155
2003,Jason Giambi,Yankees,818
2009,Mark Teixeira,Yankees,1281
2002,Rafael Palmeiro,Rangers,1266
2003,Richard Hidalgo,Astros,561
2009,Miguel Cabrera,Tigers,1744
2014,Jose Bautista,Blue Jays,1887
2016,Freddie Freeman,Braves,5361
2004,Adam Dunn,Reds,319
2009,Alex Rodriguez,Yankees,1274
2003,Bill Mueller,Red Sox,295
2003,Jim Thome,Phillies,409
2007,Todd Helton,Rockies,432
2002,Carlos Delgado,Blue Jays,1297
2002,Bobby Abreu,Phillies,945
2003,David Ortiz,Red Sox,745
2013,Troy Tulowitzki,Rockies,3531
2013,Joey Votto,Reds,4314
2004,Jim Thome,Phillies,409
2011,Jacoby Ellsbury,Red Sox,4727
2013,David Ortiz,Red Sox,745
2005,Morgan Ensberg,Astros,556
2009,Pablo Sandoval,Giants,5409
2005,Miguel Cabrera,Marlins,1744
2005,Ken Griffey Jr.,Reds,327
2005,Lance Berkman,Astros,548
2016,Miguel Cabrera,Tigers,1744
2007,Adam Dunn,Reds,319
2012,Prince Fielder,Tigers,4613
2002,Gary Sheffield,Braves,114
2004,Aramis Ramirez,Cubs,1002
2015,Josh Donaldson,Blue Jays,5038
2010,Matt Holliday,Cardinals,1873
2002,Jeff Kent,Giants,1119
2007,Ryan Howard,Phillies,2154
2003,Jorge Posada,Yankees,841
2003,Lance Berkman,Astros,548
2014,Anthony Rizzo,Cubs,3473
2007,Jack Cust,Athletics,1564
2005,Vladimir Guerrero,Angels,778
2016,Kris Bryant,Cubs,15429
2007,Vladimir Guerrero,Angels,778
2008,David Wright,Mets,3787
2013,Michael Cuddyer,Rockies,1534
2015,Nelson Cruz,Mariners,2434
2012,Edwin Encarnacion,Blue Jays,2151
2002,Bernie Williams,Yankees,857
2003,Magglio Ordonez,White Sox,248
2009,Adam Lind,Blue Jays,8027
2010,Jayson Werth,Phillies,1327
2006,Joe Mauer,Twins,1857
2009,Adam Dunn,Nationals,319
2009,Jason Bay,Red Sox,1717
2009,Troy Tulowitzki,Rockies,3531
2003,Luis Gonzalez,Diamondbacks,55
2011,Matt Holliday,Cardinals,1873
2009,Chase Utley,Phillies,1679
2002,Jeff Bagwell,Astros,547
2009,J.D. Drew,Red Sox,1152
2012,Robinson Cano,Yankees,3269
2007,Derrek Lee,Cubs,525
2003,Marcus Giles,Braves,89
2006,Paul Konerko,White Sox,242
2002,Shawn Green,Dodgers,651
2016,Charlie Blackmon,Rockies,7859
2004,Gary Sheffield,Yankees,114
2009,Todd Helton,Rockies,432
2003,Jose Guillen,- - -,57
2011,Curtis Granderson,Yankees,4747
2002,Ryan Klesko,Padres,1041
2005,David Wright,Mets,3787
2013,Andrew McCutchen,Pirates,9847
2003,Richie Sexson,Brewers,709
2013,Shin-Soo Choo,Reds,3174
2009,Ryan Howard,Phillies,2154
2005,Brian Giles,Padres,990
2006,Jason Bay,Pirates,1717
2007,Pat Burrell,Phillies,949
2006,Derek Jeter,Yankees,826
2007,Brad Hawpe,Rockies,1885
2008,Nick Markakis,Orioles,5930
2005,Adam Dunn,Reds,319
2004,Erubiel Durazo,Athletics,1413
2006,Frank Thomas,Athletics,255
2005,Aramis Ramirez,Cubs,1002
2015,Edwin Encarnacion,Blue Jays,2151
2016,DJ LeMahieu,Rockies,9874
2003,Chipper Jones,Braves,97
2004,Hideki Matsui,Yankees,1659
2016,Anthony Rizzo,Cubs,3473
2010,Robinson Cano,Yankees,3269
2004,Carlos Guillen,Tigers,1079
2009,Matt Holliday,- - -,1873
2006,Carlos Guillen,Tigers,1079
2010,Adrian Beltre,Red Sox,639
2011,Carlos Beltran,- - -,589
2016,Jose Altuve,Astros,5417
2011,Michael Morse,Nationals,3035
2006,Justin Morneau,Twins,1737
2002,Pat Burrell,Phillies,949
2015,Chris Davis,Orioles,9272
2010,Ryan Zimmerman,Nationals,4220
2006,Alex Rodriguez,Yankees,1274
2003,Carlos Beltran,Royals,589
2011,Troy Tulowitzki,Rockies,3531
2014,Edwin Encarnacion,Blue Jays,2151
2004,Sean Casey,Reds,314
2005,Michael Young,Rangers,1286
2003,Larry Walker,Rockies,455
2005,Jim Edmonds,Cardinals,1153
2014,Michael Brantley,Indians,4106
2008,Chase Utley,Phillies,1679
2015,Jose Bautista,Blue Jays,1887
2005,Chase Utley,Phillies,1679
2004,Mark Teixeira,Rangers,1281
2003,Scott Rolen,Cardinals,970
2006,Chase Utley,Phillies,1679
2013,Edwin Encarnacion,Blue Jays,2151
2012,Adrian Beltre,Rangers,639
2007,Curtis Granderson,Tigers,4747
2006,Bobby Abreu,- - -,945
2005,Richie Sexson,Mariners,709
2009,Lance Berkman,Astros,548
2009,Brad Hawpe,Rockies,1885
2004,Moises Alou,Cubs,261
2009,Kendrys Morales,Angels,8610
2002,Cliff Floyd,- - -,518
2003,Edgar Martinez,Mariners,1086
2013,Freddie Freeman,Braves,5361
2005,Brian Roberts,Orioles,166
2010,Luke Scott,Orioles,3469
2012,Josh Hamilton,Rangers,1875
2002,Luis Gonzalez,Diamondbacks,55
2008,Aubrey Huff,Orioles,1213
2010,Aubrey Huff,Giants,1213
2002,Ellis Burks,Indians,372
2007,Aramis Ramirez,Cubs,1002
2007,Melvin Upton Jr.,Devil Rays,5015
2010,Shin-Soo Choo,Indians,3174
2016,Nolan Arenado,Rockies,9777
2002,John Olerud,Mariners,1093
2005,Paul Konerko,White Sox,242
2008,Brian McCann,Braves,4810
2008,Aramis Ramirez,Cubs,1002
2006,Vladimir Guerrero,Angels,778
2003,Geoff Jenkins,Brewers,690
2003,Vernon Wells,Blue Jays,1326
2011,Justin Upton,Diamondbacks,5222
2005,Nick Johnson,Nationals,828
2005,Chad Tracy,Diamondbacks,1888
2004,Aaron Rowand,White Sox,254
2008,Ian Kinsler,Rangers,6195
2009,Michael Young,Rangers,1286
2009,Jason Kubel,Twins,2161
2009,Justin Upton,Diamondbacks,5222
2009,Derek Jeter,Yankees,826
2003,Jeff Bagwell,Astros,547
2011,Paul Konerko,White Sox,242
2008,Adam Dunn,- - -,319
2009,Shin-Soo Choo,Indians,3174
2005,Pat Burrell,Phillies,949
2008,Jason Bay,- - -,1717
2013,Josh Donaldson,Athletics,5038
2004,Eric Chavez,Athletics,906
2013,Robinson Cano,Yankees,3269
2015,Anthony Rizzo,Cubs,3473
2007,Lance Berkman,Astros,548
2014,Miguel Cabrera,Tigers,1744
2011,Albert Pujols,Cardinals,1177
2007,Aaron Rowand,Phillies,254
2012,Aramis Ramirez,Brewers,1002
2008,Josh Hamilton,Rangers,1875
2016,J.D. Martinez,Tigers,6184
2003,Aubrey Huff,Devil Rays,1213
2003,Bret Boone,Mariners,1067
2004,Jorge Posada,Yankees,841
2011,Alex Avila,Tigers,7476
2004,Jeromy Burnitz,Rockies,867
2006,Grady Sizemore,Indians,2197
2016,Nelson Cruz,Mariners,2434
2008,Andre Ethier,Dodgers,6265
2013,Joe Mauer,Twins,1857
2009,Jason Bartlett,Rays,8219
2013,Matt Holliday,Cardinals,1873
2004,Carlos Beltran,- - -,589
2005,Andruw Jones,Braves,96
2011,Alex Gordon,Royals,5209
2002,Mark Bellhorn,Cubs,264
2010,David Ortiz,Red Sox,745
2006,David Wright,Mets,3787
2003,Sammy Sosa,Cubs,302
2005,Gary Sheffield,Yankees,114
2016,Paul Goldschmidt,Diamondbacks,9218
2010,Dan Uggla,Marlins,3442
2004,Ivan Rodriguez,Tigers,1275
2006,Pat Burrell,Phillies,949
2006,Aramis Ramirez,Cubs,1002
2006,Adam LaRoche,Braves,1904
2011,Giancarlo Stanton,Marlins,4949
2013,Matt Carpenter,Cardinals,8090
2010,Prince Fielder,Brewers,4613
2008,Brad Hawpe,Rockies,1885
2010,Adam Dunn,Nationals,319
2011,Adrian Beltre,Rangers,639
2002,Tim Salmon,Angels,32
2002,Mike Piazza,Mets,893
2003,Dmitri Young,Tigers,505
2009,Mark Reynolds,Diamondbacks,7619
2015,Andrew McCutchen,Pirates,9847
2004,Mark Loretta,Padres,1383
2006,J.D. Drew,Dodgers,1152
2014,Adrian Beltre,Rangers,639
2012,Josh Willingham,Twins,2103
2005,Jeff Kent,Dodgers,1119
2015,David Peralta,Diamondbacks,2136
2011,Carlos Gonzalez,Rockies,7287
2003,Derrek Lee,Marlins,525
2006,Vernon Wells,Blue Jays,1326
2009,Hideki Matsui,Yankees,1659
2003,Bobby Abreu,Phillies,945
2014,Yasiel Puig,Dodgers,14225
2010,Adrian Gonzalez,Padres,1908
2016,Mookie Betts,Red Sox,13611
2004,Carlos Lee,White Sox,243
2006,Brad Hawpe,Rockies,1885
2010,Nick Swisher,Yankees,4599
2005,David Dellucci,Rangers,1402
2007,Edgar Renteria,Braves,1178
2007,Mike Lowell,Red Sox,527
2008,Joe Mauer,Twins,1857
2005,Geoff Jenkins,Brewers,690
2005,Bobby Abreu,Phillies,945
2005,Troy Glaus,Diamondbacks,15
2015,David Ortiz,Red Sox,745
2004,Alex Rodriguez,Yankees,1274
2013,Adrian Beltre,Rangers,639
2007,Alfonso Soriano,Cubs,847
2010,Kelly Johnson,Diamondbacks,2234
2005,Jhonny Peralta,Indians,1738
2012,Matt Holliday,Cardinals,1873
2009,Raul Ibanez,Phillies,607
2007,Corey Hart,Brewers,1945
2010,Ryan Braun,Brewers,3410
2004,Paul Konerko,White Sox,242
2016,Ryan Braun,Brewers,3410
2008,Magglio Ordonez,Tigers,248
2008,Jason Giambi,Yankees,818
2004,Carlos Delgado,Blue Jays,1297
2009,Jayson Werth,Phillies,1327
2006,Ray Durham,Giants,230
2012,Chase Headley,Padres,4720
2008,Brian Giles,Padres,990
2011,Hunter Pence,- - -,8252
2008,Dustin Pedroia,Red Sox,8370
2008,Jermaine Dye,White Sox,911
2006,Robinson Cano,Yankees,3269
2009,Evan Longoria,Rays,9368
2002,Jose Vidro,Expos,802
