Season,Name,Team,playerid
2012,Craig Kimbrel,Braves,6655
2003,Eric Gagne,Dodgers,650
2014,Aroldis Chapman,Reds,10233
2014,Wade Davis,Royals,7441
2013,Greg Holland,Royals,7196
2016,Aroldis Chapman,- - -,10233
2016,Kenley Jansen,Dodgers,3096
2014,Andrew Miller,- - -,6785
2011,Craig Kimbrel,Braves,6655
2011,Jonathan Papelbon,Red Sox,5975
2003,John Smoltz,Braves,115
2012,Aroldis Chapman,Reds,10233
2013,Koji Uehara,Red Sox,9227
2013,Mark Melancon,Pirates,4264
2014,Dellin Betances,Yankees,6216
2004,Francisco Rodriguez,Angels,1642
2014,Yusmeiro Petit,Giants,4020
2016,Andrew Miller,- - -,6785
2006,Joe Nathan,Twins,1122
2014,Sean Doolittle,Athletics,1581
2006,J.J. Putz,Mariners,1795
2014,Jake McGee,Rays,7550
2011,Kenley Jansen,Dodgers,3096
2002,Jason Isringhausen,Cardinals,1158
2016,Dellin Betances,Yankees,6216
2002,Eric Gagne,Dodgers,650
2003,Rafael Soriano,Mariners,1100
2012,Jake McGee,Rays,7550
2010,Hong-Chih Kuo,Dodgers,7016
2015,Cody Allen,Indians,12183
2009,Phil Hughes,Yankees,7450
2014,Greg Holland,Royals,7196
2014,Craig Kimbrel,Braves,6655
2011,David Robertson,Yankees,8241
2013,Danny Farquhar,Mariners,8501
2011,Sean Marshall,Cubs,5905
2006,Takashi Saito,Dodgers,6021
2013,Trevor Rosenthal,Cardinals,10745
2014,Kenley Jansen,Dodgers,3096
2015,Sergio Romo,Giants,9817
2013,Craig Kimbrel,Braves,6655
2016,Zach Britton,Orioles,3240
2002,Arthur Rhodes,Mariners,1097
2015,Aroldis Chapman,Reds,10233
2009,Jonathan Broxton,Dodgers,4759
2013,Jason Grilli,Pirates,521
2002,Robb Nen,Giants,1123
2004,Brad Lidge,Astros,563
2016,Addison Reed,Mets,10586
2013,Kenley Jansen,Dodgers,3096
2008,Hong-Chih Kuo,Dodgers,7016
2008,Jonathan Papelbon,Red Sox,5975
2015,Zach Britton,Orioles,3240
2010,Carlos Marmol,Cubs,2790
2008,Mariano Rivera,Yankees,844
2002,Trevor Hoffman,Padres,1035
2016,Edwin Diaz,Mariners,14710
2010,Heath Bell,Padres,2080
2004,Eric Gagne,Dodgers,650
2004,B.J. Ryan,Orioles,168
2012,David Hernandez,Diamondbacks,4259
2014,Josh Fields,Astros,5070
2014,Mark Melancon,Pirates,4264
2009,Chan Ho Park,Phillies,1267
2010,Billy Wagner,Braves,578
2005,B.J. Ryan,Orioles,168
2016,Kyle Barraclough,Marlins,13713
2015,Carson Smith,Mariners,13172
2005,Brad Lidge,Astros,563
2016,Seung Hwan Oh,Cardinals,18719
2012,Fernando Rodney,Rays,494
2010,John Axford,Brewers,9059
2016,Chris Devenski,Astros,12763
2015,Ken Giles,Phillies,12910
2006,Jonathan Papelbon,Red Sox,5975
2006,B.J. Ryan,Blue Jays,168
2010,Matt Thornton,White Sox,1918
2015,Kenley Jansen,Dodgers,3096
2014,Zach Duke,Brewers,3840
2015,Liam Hendriks,Blue Jays,3548
2005,Mariano Rivera,Yankees,844
2015,Andrew Miller,Yankees,6785
2004,Joe Nathan,Twins,1122
2014,Steve Cishek,Marlins,6483
2013,Neal Cotts,Rangers,1797
2011,Joel Hanrahan,Pirates,2186
2015,Josh Fields,Astros,5070
2011,Mariano Rivera,Yankees,844
2010,Brian Wilson,Giants,6485
2005,Joe Nathan,Twins,1122
2011,Greg Holland,Royals,7196
2007,Rafael Betancourt,Indians,177
2008,Grant Balfour,Rays,718
2008,Brian Fuentes,Rockies,429
2012,Sean Marshall,Reds,5905
2007,Francisco Cordero,Brewers,1243
2011,Ryan Madson,Phillies,1852
2013,Joe Nathan,Rangers,1122
2008,Jonathan Broxton,Dodgers,4759
2014,Hector Rondon,Cubs,2391
2010,Sean Marshall,Cubs,5905
2015,Wade Davis,Royals,7441
2012,Greg Holland,Royals,7196
2005,Rudy Seanez,Padres,1279
2013,Jean Machi,Giants,3220
2012,Octavio Dotel,Tigers,555
2013,Drew Smyly,Tigers,11760
2010,Mike Adams,Padres,1937
2008,Kerry Wood,Cubs,304
2014,Joaquin Benoit,Padres,1437
2013,Alex Torres,Rays,7038
2016,Dan Otero,Indians,7385
2013,Bobby Parnell,Mets,9926
2015,Brett Cecil,Blue Jays,2660
2014,Brett Cecil,Blue Jays,2660
2016,Will Harris,Astros,3192
2005,Aaron Heilman,Mets,1751
2009,Michael Wuertz,Athletics,1856
2014,Pat Neshek,Cardinals,4682
2005,Todd Jones,Marlins,436
2012,J.J. Putz,Diamondbacks,1795
2003,Brendan Donnelly,Angels,1441
2003,LaTroy Hawkins,Twins,729
2016,Jeurys Familia,Mets,5114
2002,John Smoltz,Braves,115
2003,Mariano Rivera,Yankees,844
2012,Kenley Jansen,Dodgers,3096
2004,Francisco Cordero,Rangers,1243
2011,Glen Perkins,Twins,8041
2008,Brad Lidge,Phillies,563
2011,John Axford,Brewers,9059
2016,Mark Melancon,- - -,4264
2015,Trevor Rosenthal,Cardinals,10745
2002,Joey Eischen,Expos,774
2009,Heath Bell,Padres,2080
2002,Octavio Dotel,Astros,555
2010,Takashi Saito,Braves,6021
2010,Joaquin Benoit,Rays,1437
2004,Tom Gordon,Yankees,282
2011,Casey Janssen,Blue Jays,7355
2007,Jonathan Papelbon,Red Sox,5975
2011,Steve Cishek,Marlins,6483
2009,Matt Thornton,White Sox,1918
2005,Juan Rincon,Twins,752
2016,Kelvin Herrera,Royals,6033
2013,Aroldis Chapman,Reds,10233
2011,Mike Adams,- - -,1937
2015,Will Smith,Brewers,8048
2015,Dellin Betances,Yankees,6216
2011,Jason Motte,Cardinals,5861
2012,David Robertson,Yankees,8241
2010,Rafael Betancourt,Rockies,177
2013,Glen Perkins,Twins,8041
2015,Darren O'Day,Orioles,3321
2009,Luke Gregerson,Padres,4090
2005,Trevor Hoffman,Padres,1035
2004,Juan Rincon,Twins,752
2007,Joakim Soria,Royals,6941
2009,Brian Wilson,Giants,6485
2007,Heath Bell,Padres,2080
2015,Pedro Baez,Dodgers,5420
2013,Steve Cishek,Marlins,6483
2015,David Robertson,White Sox,8241
2015,Sean Gilmartin,Mets,12781
2010,J.J. Putz,White Sox,1795
2011,Rafael Betancourt,Rockies,177
2016,Derek Law,Giants,13133
2014,Jonathan Papelbon,Phillies,5975
2010,Joakim Soria,Royals,6941
2015,Travis Wood,Cubs,9884
2006,Chad Bradford,Mets,904
2011,Eric O'Flaherty,Braves,5746
2013,Brandon Kintzler,Brewers,9939
2009,Rafael Soriano,Braves,1100
2011,J.J. Putz,Diamondbacks,1795
2011,Brad Ziegler,- - -,7293
2009,Andrew Bailey,Athletics,1368
2015,Joe Blanton,- - -,4849
2014,Chris Hatcher,Marlins,3299
2007,Bobby Jenks,White Sox,8645
2009,Kiko Calero,Marlins,1676
2015,Shawn Kelley,Padres,7773
2015,Mark Lowe,- - -,7416
2007,Takashi Saito,Dodgers,6021
2003,B.J. Ryan,Orioles,168
2005,Rafael Betancourt,Indians,177
2002,Chad Bradford,Athletics,904
2002,Brendan Donnelly,Angels,1441
2010,Bobby Jenks,White Sox,8645
2010,Wilton Lopez,Astros,4227
2010,Hisanori Takahashi,Mets,10091
2010,Ryan Madson,Phillies,1852
2013,David Robertson,Yankees,8241
2010,Joel Hanrahan,Pirates,2186
2002,Antonio Osuna,White Sox,249
2011,Matt Thornton,White Sox,1918
2006,Huston Street,Athletics,8258
2002,Alan Embree,- - -,1030
2010,Francisco Rodriguez,Mets,1642
2009,Trevor Hoffman,Brewers,1035
2015,Keone Kela,Rangers,14696
2013,Nate Jones,White Sox,4696
2010,Darren Oliver,Rangers,206
2007,Mariano Rivera,Yankees,844
2014,Jake Diekman,Phillies,5003
2007,Joe Nathan,Twins,1122
2014,Kevin Quackenbush,Padres,12360
2014,Pedro Strop,Cubs,4070
2007,J.J. Putz,Mariners,1795
2011,Vinnie Pestano,Indians,4782
2005,Billy Wagner,Phillies,578
2003,Byung-Hyun Kim,Red Sox,61
2004,Giovanni Carrara,Dodgers,643
2010,Matt Belisle,Rockies,1837
2015,Hector Rondon,Cubs,2391
2015,Craig Kimbrel,Padres,6655
2010,Grant Balfour,Rays,718
2014,David Robertson,Yankees,8241
2002,Byung-Hyun Kim,Diamondbacks,61
2014,Kelvin Herrera,Royals,6033
2015,Justin Wilson,Yankees,4301
2014,Tony Watson,Pirates,3132
2010,Jonny Venters,Braves,7175
2003,Tom Gordon,White Sox,282
2005,Mike Timlin,Red Sox,1187
2012,Sergio Romo,Giants,9817
