Season,Name,Team,playerid
2014,Clayton Kershaw,Dodgers,2036
2015,Clayton Kershaw,Dodgers,2036
2013,Matt Harvey,Mets,11713
2011,Roy Halladay,Phillies,1303
2003,Pedro Martinez,Red Sox,200
2002,Pedro Martinez,Red Sox,200
2004,Randy Johnson,Diamondbacks,60
2016,Jose Fernandez,Marlins,11530
2016,Noah Syndergaard,Mets,11762
2009,Zack Greinke,Royals,1943
2009,Tim Lincecum,Giants,5705
2014,Corey Kluber,Indians,2429
2015,Jake Arrieta,Cubs,4153
2002,Curt Schilling,Diamondbacks,73
2013,Clayton Kershaw,Dodgers,2036
2013,Anibal Sanchez,Tigers,3284
2010,Josh Johnson,Marlins,4567
2011,Clayton Kershaw,Dodgers,2036
2003,Mark Prior,Cubs,301
2013,Adam Wainwright,Cardinals,2233
2014,Felix Hernandez,Mariners,4772
2014,Chris Sale,White Sox,10603
2010,Cliff Lee,- - -,1636
2008,Tim Lincecum,Giants,5705
2011,Cliff Lee,Phillies,1636
2014,Garrett Richards,Angels,9784
2013,Felix Hernandez,Mariners,4772
2003,Jason Schmidt,Giants,1131
2004,Ben Sheets,Brewers,710
2014,Phil Hughes,Twins,7450
2010,Francisco Liriano,Twins,3201
2015,Gerrit Cole,Pirates,13125
2003,Curt Schilling,Diamondbacks,73
2002,Randy Johnson,Diamondbacks,60
2011,Madison Bumgarner,Giants,5524
2014,Jordan Zimmermann,Nationals,4505
2015,Jacob deGrom,Mets,10954
2013,Jose Fernandez,Marlins,11530
2015,Chris Sale,White Sox,10603
2013,Max Scherzer,Tigers,3137
2015,Zack Greinke,Dodgers,1943
2015,Max Scherzer,Nationals,3137
2009,Javier Vazquez,Braves,801
2009,Chris Carpenter,Cardinals,1292
2015,David Price,- - -,3184
2014,David Price,- - -,3184
2005,Johan Santana,Twins,755
2014,Jon Lester,- - -,4930
2009,Justin Verlander,Tigers,8700
2013,A.J. Burnett,Pirates,512
2014,Jose Quintana,White Sox,11423
2003,Kevin Brown,Dodgers,642
2013,Cliff Lee,Phillies,1636
2012,Gio Gonzalez,Nationals,7448
2008,Cliff Lee,Indians,1636
2012,Felix Hernandez,Mariners,4772
2015,Carlos Carrasco,Indians,6632
2007,Jake Peavy,Padres,1051
2014,Max Scherzer,Tigers,3137
2010,Adam Wainwright,Cardinals,2233
2011,Brandon McCarthy,Athletics,4662
2005,Roger Clemens,Astros,815
2015,Madison Bumgarner,Giants,5524
2011,CC Sabathia,Yankees,404
2014,Adam Wainwright,Cardinals,2233
2005,Jake Peavy,Padres,1051
2012,Clayton Kershaw,Dodgers,2036
2005,Chris Carpenter,Cardinals,1292
2015,Chris Archer,Rays,6345
2008,CC Sabathia,- - -,404
2015,Dallas Keuchel,Astros,9434
2011,Matt Cain,Giants,4732
2015,Jon Lester,Cubs,4930
2004,Johan Santana,Twins,755
2004,Jason Schmidt,Giants,1131
2014,Stephen Strasburg,Nationals,10131
2012,Justin Verlander,Tigers,8700
2005,Pedro Martinez,Mets,200
2011,Matt Garza,Cubs,3340
2016,Johnny Cueto,Giants,6893
2002,Roy Halladay,Blue Jays,1303
2010,Justin Verlander,Tigers,8700
2015,Corey Kluber,Indians,2429
2014,Zack Greinke,Dodgers,1943
2015,Tyson Ross,Padres,7872
2011,Zack Greinke,Brewers,1943
2005,Dontrelle Willis,Marlins,1703
2011,Dan Haren,Angels,1757
2011,Justin Verlander,Tigers,8700
2011,Cole Hamels,Phillies,4972
2010,Mat Latos,Padres,3815
2010,Roy Halladay,Phillies,1303
2008,Dan Haren,Diamondbacks,1757
2002,Roy Oswalt,Astros,571
2010,Yovani Gallardo,Brewers,8173
2013,David Price,Rays,3184
2011,Doug Fister,- - -,9425
2006,Johan Santana,Twins,755
2012,Wade Miley,Diamondbacks,8779
2010,Felix Hernandez,Mariners,4772
2008,Roy Halladay,Blue Jays,1303
2012,David Price,Rays,3184
2015,Gio Gonzalez,Nationals,7448
2014,Madison Bumgarner,Giants,5524
2015,Matt Harvey,Mets,11713
2013,Madison Bumgarner,Giants,5524
2003,Esteban Loaiza,White Sox,1310
2009,Roy Halladay,Blue Jays,1303
2010,Jered Weaver,Angels,4235
2009,Josh Johnson,Marlins,4567
2011,Chris Carpenter,Cardinals,1292
2014,Cole Hamels,Phillies,4972
2005,Andy Pettitte,Astros,840
2010,Chad Billingsley,Dodgers,5842
2007,Josh Beckett,Red Sox,510
2003,Mike Mussina,Yankees,837
2009,Felix Hernandez,Mariners,4772
2012,Adam Wainwright,Cardinals,2233
2010,Ubaldo Jimenez,Rockies,3374
2005,John Lackey,Angels,1507
2012,Zack Greinke,- - -,1943
2013,Mat Latos,Reds,3815
2005,A.J. Burnett,Marlins,512
2004,Curt Schilling,Red Sox,73
2009,Clayton Kershaw,Dodgers,2036
2009,Cliff Lee,- - -,1636
2002,Jason Schmidt,Giants,1131
2009,Adam Wainwright,Cardinals,2233
2004,Roger Clemens,Astros,815
2010,Clayton Kershaw,Dodgers,2036
2010,Jon Lester,Red Sox,4930
2011,Felix Hernandez,Mariners,4772
2012,Cliff Lee,Phillies,1636
2004,Jake Peavy,Padres,1051
2007,CC Sabathia,Indians,404
2010,Tim Lincecum,Giants,5705
2009,Jon Lester,Red Sox,4930
2005,Roy Oswalt,Astros,571
2011,Jordan Zimmermann,Nationals,4505
2015,Carlos Martinez,Cardinals,11682
2011,Mat Latos,Padres,3815
2011,Tim Lincecum,Giants,5705
2013,Chris Sale,White Sox,10603
2006,Brandon Webb,Diamondbacks,1692
2015,Jose Quintana,White Sox,11423
2004,Roy Oswalt,Astros,571
2015,Francisco Liriano,Pirates,3201
2007,Erik Bedard,Orioles,126
2011,Jered Weaver,Angels,4235
2016,Kyle Hendricks,Cubs,12049
2014,Jeff Samardzija,- - -,3254
2007,John Smoltz,Braves,115
2013,Stephen Strasburg,Nationals,10131
2014,Ian Kennedy,Padres,6986
2014,Dallas Keuchel,Astros,9434
2012,R.A. Dickey,Mets,1245
2011,Ian Kennedy,Diamondbacks,6986
2011,Jaime Garcia,Cardinals,8137
2013,Zack Greinke,Dodgers,1943
2014,Alex Cobb,Rays,6562
2002,A.J. Burnett,Marlins,512
2003,Roy Halladay,Blue Jays,1303
2013,Bartolo Colon,Athletics,375
2009,Dan Haren,Diamondbacks,1757
2007,Brandon Webb,Diamondbacks,1692
2016,Max Scherzer,Nationals,3137
2011,C.J. Wilson,Rangers,3580
2013,Hyun-Jin Ryu,Dodgers,14444
2008,Josh Beckett,Red Sox,510
2016,Madison Bumgarner,Giants,5524
2014,Tyson Ross,Padres,7872
2014,Hisashi Iwakuma,Mariners,13048
2006,Roy Oswalt,Astros,571
2008,Derek Lowe,Dodgers,199
2013,Cole Hamels,Phillies,4972
2016,Corey Kluber,Indians,2429
2010,Hiroki Kuroda,Dodgers,3283
2012,Max Scherzer,Tigers,3137
2002,Chuck Finley,- - -,384
2012,Chris Sale,White Sox,10603
2013,Doug Fister,Tigers,9425
2012,Johnny Cueto,Reds,6893
2005,Josh Beckett,Marlins,510
2005,John Smoltz,Braves,115
2009,Joel Pineiro,Cardinals,1094
2011,Justin Masterson,Indians,2038
2013,Yu Darvish,Rangers,13074
2013,Justin Verlander,Tigers,8700
2013,Lance Lynn,Cardinals,2520
2008,Brandon Webb,Diamondbacks,1692
2011,Daniel Hudson,Diamondbacks,7146
2010,Roy Oswalt,- - -,571
2004,Jaret Wright,Braves,415
2002,Kevin Millwood,Braves,106
2012,Yu Darvish,Rangers,13074
2013,Andrew Cashner,Padres,8782
2006,Jeremy Bonderman,Tigers,1667
2002,Roger Clemens,Yankees,815
2008,Ervin Santana,Angels,3200
2006,CC Sabathia,Indians,404
2012,Cole Hamels,Phillies,4972
2014,Johnny Cueto,Reds,6893
2010,Tommy Hanson,Braves,9129
2013,Homer Bailey,Reds,8362
2003,Javier Vazquez,Expos,801
2011,David Price,Rays,3184
2010,Anibal Sanchez,Marlins,3284
2008,Mike Mussina,Yankees,837
2002,Matt Morris,Cardinals,1172
2003,Brandon Webb,Diamondbacks,1692
2005,Esteban Loaiza,Nationals,1310
2012,CC Sabathia,Yankees,404
2002,Derek Lowe,Red Sox,199
2002,Matt Clement,Cubs,271
2010,Zack Greinke,Royals,1943
2011,Anibal Sanchez,Marlins,3284
2003,Andy Pettitte,Yankees,840
2014,Lance Lynn,Cardinals,2520
2009,Ricky Nolasco,Marlins,3830
2014,Scott Kazmir,Athletics,4897
