Season,Name,Team,playerid
1999,Pedro Martinez,Red Sox,200
2001,Pedro Martinez,Red Sox,200
2016,Clayton Kershaw,Dodgers,2036
2014,Clayton Kershaw,Dodgers,2036
2015,Clayton Kershaw,Dodgers,2036
2013,Matt Harvey,Mets,11713
2010,Stephen Strasburg,Nationals,10131
2000,Pedro Martinez,Red Sox,200
2011,Roy Halladay,Phillies,1303
2014,Carlos Carrasco,Indians,6632
2003,Pedro Martinez,Red Sox,200
2001,Randy Johnson,Diamondbacks,60
2012,Kris Medlen,Braves,9417
2015,Jose Fernandez,Marlins,11530
2002,Pedro Martinez,Red Sox,200
1997,Roger Clemens,Blue Jays,815
1998,Kevin Brown,Padres,642
2001,Roy Halladay,Blue Jays,1303
2014,Jake Arrieta,Cubs,4153
2004,Randy Johnson,Diamondbacks,60
2016,Jose Fernandez,Marlins,11530
2016,Noah Syndergaard,Mets,11762
2009,Zack Greinke,Royals,1943
2009,Tim Lincecum,Giants,5705
2014,Corey Kluber,Indians,2429
2015,Jake Arrieta,Cubs,4153
2002,Curt Schilling,Diamondbacks,73
2013,Clayton Kershaw,Dodgers,2036
1997,Pedro Martinez,Expos,200
2013,Anibal Sanchez,Tigers,3284
2016,Rich Hill,- - -,4806
2010,Josh Johnson,Marlins,4567
1997,Greg Maddux,Braves,104
2006,Ben Sheets,Brewers,710
2011,Clayton Kershaw,Dodgers,2036
2003,Mark Prior,Cubs,301
2000,Randy Johnson,Diamondbacks,60
2013,Adam Wainwright,Cardinals,2233
2014,Felix Hernandez,Mariners,4772
2014,Chris Sale,White Sox,10603
2010,Cliff Lee,- - -,1636
2008,Tim Lincecum,Giants,5705
2011,Cliff Lee,Phillies,1636
2014,Garrett Richards,Angels,9784
2013,Felix Hernandez,Mariners,4772
2014,Hyun-Jin Ryu,Dodgers,14444
1997,Curt Schilling,Phillies,73
2003,Jason Schmidt,Giants,1131
2011,Josh Johnson,Marlins,4567
2004,Ben Sheets,Brewers,710
2014,Phil Hughes,Twins,7450
1998,Roger Clemens,Blue Jays,815
2010,Francisco Liriano,Twins,3201
2015,Gerrit Cole,Pirates,13125
2003,Curt Schilling,Diamondbacks,73
2002,Randy Johnson,Diamondbacks,60
2011,Madison Bumgarner,Giants,5524
2014,Jacob deGrom,Mets,10954
2015,Clay Buchholz,Red Sox,3543
2014,Jordan Zimmermann,Nationals,4505
2015,Jacob deGrom,Mets,10954
2014,Anibal Sanchez,Tigers,3284
1998,John Smoltz,Braves,115
2014,Michael Pineda,Yankees,5372
2013,Jose Fernandez,Marlins,11530
2015,Chris Sale,White Sox,10603
2013,Max Scherzer,Tigers,3137
2015,Zack Greinke,Dodgers,1943
1999,Randy Johnson,Diamondbacks,60
2015,Max Scherzer,Nationals,3137
1998,Curt Schilling,Phillies,73
2009,Javier Vazquez,Braves,801
2009,Chris Carpenter,Cardinals,1292
2015,David Price,- - -,3184
2014,David Price,- - -,3184
2013,Clay Buchholz,Red Sox,3543
2014,Marcus Stroman,Blue Jays,13431
2014,Mike Fiers,Brewers,7754
2005,Johan Santana,Twins,755
2016,James Paxton,Mariners,11828
2014,Jon Lester,- - -,4930
2009,Justin Verlander,Tigers,8700
2013,A.J. Burnett,Pirates,512
1998,Greg Maddux,Braves,104
2015,Stephen Strasburg,Nationals,10131
2006,Francisco Liriano,Twins,3201
2014,Jose Quintana,White Sox,11423
2003,Kevin Brown,Dodgers,642
2013,Cliff Lee,Phillies,1636
2012,Gio Gonzalez,Nationals,7448
2012,Stephen Strasburg,Nationals,10131
2013,Sonny Gray,Athletics,12768
2008,Cliff Lee,Indians,1636
2012,Felix Hernandez,Mariners,4772
2015,Carlos Carrasco,Indians,6632
2007,Jake Peavy,Padres,1051
2014,Yu Darvish,Rangers,13074
2014,Max Scherzer,Tigers,3137
2003,Wilson Alvarez,Dodgers,1193
1997,Randy Johnson,Mariners,60
2001,Roy Oswalt,Astros,571
2005,Felix Hernandez,Mariners,4772
2010,Adam Wainwright,Cardinals,2233
2011,Brandon McCarthy,Athletics,4662
2005,Roger Clemens,Astros,815
2015,Madison Bumgarner,Giants,5524
2014,Matt Shoemaker,Angels,4776
2011,CC Sabathia,Yankees,404
