"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2003","Eric Gagne","Dodgers","2","3","55","77","0","82.1","14.98","2.19","0.22",".243","83.9 %","45.4 %","5.6 %","1.20","0.86","1.18","4.7","650"
"2004","Brad Lidge","Astros","6","5","29","80","0","94.2","14.93","2.85","0.76",".292","88.0 %","32.2 %","10.0 %","1.90","1.97","2.07","3.7","563"
"2004","Francisco Rodriguez","Angels","4","1","12","69","0","84.0","13.18","3.54","0.21",".278","77.9 %","42.8 %","3.1 %","1.82","1.64","2.42","3.7","1642"
"2002","Eric Gagne","Dodgers","4","1","52","77","0","82.1","12.46","1.75","0.66",".278","85.1 %","36.2 %","7.7 %","1.97","1.80","2.16","3.6","650"
"2017","Kenley Jansen","Dodgers","5","0","41","65","0","68.1","14.36","0.92","0.66",".289","91.3 %","38.4 %","8.9 %","1.32","1.31","1.82","3.6","3096"
"2004","Eric Gagne","Dodgers","7","3","45","70","0","82.1","12.46","2.40","0.55",".267","76.7 %","41.0 %","7.2 %","2.19","2.05","2.45","3.4","650"
"2006","J.J. Putz","Mariners","4","1","36","72","0","78.1","11.95","1.49","0.46",".306","79.0 %","50.5 %","6.7 %","2.30","1.73","2.14","3.4","1795"
"2012","Aroldis Chapman","Reds","5","5","38","68","0","71.2","15.32","2.89","0.50",".252","86.9 %","37.3 %","7.4 %","1.51","1.55","1.93","3.3","10233"
"2007","Rafael Betancourt","Indians","5","1","3","68","0","79.1","9.08","1.02","0.45",".240","86.4 %","26.8 %","3.8 %","1.47","2.22","3.24","3.3","177"
"2012","Craig Kimbrel","Braves","3","1","42","63","0","62.2","16.66","2.01","0.43",".250","92.8 %","49.0 %","9.7 %","1.01","0.78","0.88","3.3","6655"
"2017","Craig Kimbrel","Red Sox","5","0","35","67","0","69.0","16.43","1.83","0.78",".260","93.9 %","37.0 %","12.8 %","1.43","1.42","1.50","3.3","6655"
"2004","B.J. Ryan","Orioles","4","6","3","76","0","87.0","12.62","3.62","0.41",".302","80.5 %","40.7 %","5.8 %","2.28","2.08","2.61","3.3","168"
"2016","Kenley Jansen","Dodgers","3","2","47","71","0","68.2","13.63","1.44","0.52",".238","80.2 %","30.0 %","5.6 %","1.83","1.44","2.41","3.2","3096"
"2011","Craig Kimbrel","Braves","4","3","46","79","0","77.0","14.84","3.74","0.35",".315","80.7 %","44.8 %","5.3 %","2.10","1.52","1.94","3.2","6655"
"2008","Mariano Rivera","Yankees","6","5","39","64","0","70.2","9.81","0.76","0.51",".218","87.6 %","54.7 %","7.5 %","1.40","2.03","2.28","3.2","844"
"2014","Dellin Betances","Yankees","5","0","1","70","0","90.0","13.50","2.40","0.40",".241","86.3 %","46.6 %","6.9 %","1.40","1.64","1.86","3.2","6216"
"2006","Takashi Saito","Dodgers","6","2","24","72","0","78.1","12.29","2.64","0.34",".268","78.5 %","35.7 %","3.7 %","2.07","1.87","2.83","3.1","6021"
"2002","Robb Nen","Giants","6","2","43","68","0","73.2","9.90","2.44","0.24",".315","80.3 %","46.6 %","3.3 %","2.20","1.97","2.76","3.1","1123"
"2013","Koji Uehara","Red Sox","4","1","21","73","0","74.1","12.23","1.09","0.61",".188","91.7 %","40.4 %","6.8 %","1.09","1.61","2.08","3.1","9227"
"2006","Jonathan Papelbon","Red Sox","4","2","35","59","0","68.1","9.88","1.71","0.40",".224","92.4 %","37.3 %","3.9 %","0.92","2.14","3.13","3.1","5975"
"2006","Joe Nathan","Twins","7","0","36","64","0","68.1","12.51","2.11","0.40",".238","84.7 %","35.6 %","4.8 %","1.58","1.68","2.39","3.1","1122"
"2014","Wade Davis","Royals","9","2","3","71","0","72.0","13.63","2.88","0.00",".264","87.5 %","47.6 %","0.0 %","1.00","1.19","1.93","3.1","7441"
"2013","Greg Holland","Royals","2","1","47","68","0","67.0","13.84","2.42","0.40",".282","87.4 %","39.4 %","6.8 %","1.21","1.36","1.68","3.0","7196"
"2011","Jonathan Papelbon","Red Sox","4","1","31","63","0","64.1","12.17","1.40","0.42",".309","69.7 %","37.5 %","4.8 %","2.94","1.53","2.16","3.0","5975"
"2004","Joe Nathan","Twins","1","2","44","73","0","72.1","11.07","2.86","0.37",".269","85.8 %","34.5 %","3.8 %","1.62","2.16","3.18","3.0","1122"
"2017","Roberto Osuna","Blue Jays","3","4","39","66","0","64.0","11.67","1.27","0.42",".285","59.5 %","48.0 %","5.8 %","3.38","1.74","2.57","3.0","13764"
"2002","Arthur Rhodes","Mariners","10","4","2","66","0","69.2","10.46","1.68","0.52",".258","76.3 %","49.1 %","7.4 %","2.33","1.94","2.27","2.9","1097"
"2003","John Smoltz","Braves","0","2","45","62","0","64.1","10.21","1.12","0.28",".286","88.4 %","45.4 %","3.3 %","1.12","1.54","2.50","2.9","115"
"2016","Dellin Betances","Yankees","3","6","12","73","0","73.0","15.53","3.45","0.62",".353","68.4 %","53.9 %","13.2 %","3.08","1.78","1.75","2.9","6216"
"2005","Mariano Rivera","Yankees","7","4","43","71","0","78.1","9.19","2.07","0.23",".238","78.0 %","55.7 %","3.3 %","1.38","2.15","2.88","2.9","844"
"2004","Tom Gordon","Yankees","9","4","4","80","0","89.2","9.64","2.31","0.50",".235","78.1 %","46.0 %","6.3 %","2.21","2.44","2.96","2.8","282"
"2002","Octavio Dotel","Astros","6","4","6","83","0","97.1","10.91","2.50","0.65",".232","85.9 %","28.5 %","5.7 %","1.85","2.43","3.24","2.8","555"
"2017","Corey Knebel","Brewers","1","4","39","76","0","76.0","14.92","4.74","0.71",".311","91.9 %","38.3 %","9.5 %","1.78","2.53","2.97","2.8","15010"
"2004","Francisco Cordero","Rangers","3","4","49","67","0","71.2","9.92","4.02","0.13",".309","80.8 %","40.6 %","1.4 %","2.13","2.41","3.69","2.7","1243"
"2008","Jonathan Papelbon","Red Sox","5","4","41","67","0","69.1","10.00","1.04","0.52",".293","69.5 %","49.2 %","7.0 %","2.34","2.01","2.34","2.7","5975"
"2009","Jonathan Broxton","Dodgers","7","2","36","73","0","76.0","13.50","3.43","0.47",".263","73.1 %","56.1 %","9.3 %","2.61","1.97","2.02","2.7","4759"
"2010","Carlos Marmol","Cubs","2","3","38","77","0","77.2","15.99","6.03","0.12",".293","78.1 %","35.1 %","1.6 %","2.55","2.01","2.83","2.7","2790"
"2006","B.J. Ryan","Blue Jays","2","2","38","65","0","72.1","10.70","2.49","0.37",".242","86.5 %","36.6 %","4.3 %","1.37","2.14","2.94","2.7","168"
"2016","Seung Hwan Oh","Cardinals","6","3","19","76","0","79.2","11.64","2.03","0.56",".270","80.9 %","40.0 %","6.7 %","1.92","2.13","2.88","2.6","18719"
"2003","LaTroy Hawkins","Twins","9","3","2","74","0","77.1","8.73","1.75","0.47",".302","81.9 %","41.0 %","5.3 %","1.86","2.38","3.15","2.6","729"
"2014","Jake McGee","Rays","5","2","19","73","0","71.1","11.36","2.02","0.25",".280","80.7 %","38.0 %","2.9 %","1.89","1.73","2.58","2.6","7550"
"2011","Sean Marshall","Cubs","6","6","5","78","0","75.2","9.40","2.02","0.12",".313","76.6 %","57.5 %","2.0 %","2.26","1.86","2.50","2.6","5905"
"2015","Cody Allen","Indians","2","5","34","70","0","69.1","12.85","3.25","0.26",".342","71.1 %","32.9 %","3.1 %","2.99","1.82","2.83","2.6","12183"
"2016","Addison Reed","Mets","4","2","1","80","0","77.2","10.55","1.51","0.46",".286","81.6 %","39.5 %","5.4 %","1.97","1.97","2.89","2.6","10586"
"2003","Brendan Donnelly","Angels","2","2","3","63","0","74.0","9.61","2.92","0.24",".268","86.0 %","30.6 %","2.2 %","1.58","2.38","3.86","2.6","1441"
"2011","David Robertson","Yankees","4","0","1","70","0","66.2","13.50","4.73","0.14",".289","89.8 %","46.3 %","2.3 %","1.08","1.84","2.46","2.6","8241"
"2005","Joe Nathan","Twins","7","4","43","69","0","70.0","12.09","2.83","0.64",".265","75.4 %","36.8 %","6.4 %","2.70","2.21","2.81","2.6","1122"
"2005","B.J. Ryan","Orioles","1","4","36","69","0","70.1","12.80","3.33","0.51",".316","81.2 %","44.3 %","7.4 %","2.43","2.11","2.43","2.6","168"
"2003","Damaso Marte","White Sox","4","2","11","71","0","79.2","9.83","3.84","0.34",".251","85.8 %","33.5 %","4.0 %","1.58","2.73","3.61","2.5","247"
"2013","Mark Melancon","Pirates","3","2","16","72","0","71.0","8.87","1.01","0.13",".296","79.9 %","60.3 %","3.2 %","1.39","1.64","2.05","2.5","4264"
"2002","Jason Isringhausen","Cardinals","3","2","32","60","0","65.1","9.37","2.48","0.00",".271","66.2 %","50.0 %","0.0 %","2.48","1.75","2.88","2.5","1158"
"2002","John Smoltz","Braves","3","2","55","75","0","80.1","9.52","2.69","0.45",".274","68.5 %","45.5 %","6.3 %","3.25","2.39","2.83","2.5","115"
"2005","Brad Lidge","Astros","4","4","42","70","0","70.2","13.12","2.93","0.64",".338","81.8 %","46.2 %","10.4 %","2.29","2.13","2.15","2.5","563"
"2007","Heath Bell","Padres","6","4","2","81","0","93.2","9.80","2.88","0.29",".252","80.9 %","58.8 %","6.0 %","2.02","2.50","2.76","2.5","2080"
"2004","Mariano Rivera","Yankees","4","2","53","74","0","78.2","7.55","2.29","0.34",".279","85.1 %","60.3 %","4.9 %","1.94","2.82","3.43","2.5","844"
"2016","Zach Britton","Orioles","2","1","47","69","0","67.0","9.94","2.42","0.13",".230","89.7 %","80.0 %","7.1 %","0.54","1.94","2.09","2.5","3240"
"2010","Brian Wilson","Giants","3","3","48","70","0","74.2","11.21","3.13","0.36",".314","86.1 %","48.7 %","4.2 %","1.81","2.19","2.85","2.5","6485"
"2015","Aroldis Chapman","Reds","4","4","33","65","0","66.1","15.74","4.48","0.41",".331","88.5 %","37.1 %","5.9 %","1.63","1.94","2.49","2.5","10233"
"2002","Byung-Hyun Kim","Diamondbacks","8","3","36","72","0","84.0","9.86","2.79","0.54",".276","85.4 %","53.0 %","7.5 %","2.04","2.69","3.02","2.5","61"
