RP,C,SP,FD,Avg_Team_G,Avg_Team_Career_Length,Avg_Team_Stay_Length,Player_Trade_Freq,target,Career_Length,Stay_Length,GS,Inn,playerid,G,Team,Season,Leave
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,1,1,0,287.1,1,74,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,13,2,2,0,167.0,1,73,0,2004,1.0
0,0,0,1,112.08695652173913,2.0869565217391304,1.434782608695652,0.5,13,3,1,0,656.0,1,264,13,2006,0.0
0,0,0,1,97.08,2.68,1.88,0.3333333333333333,13,4,2,0,765.2,1,266,13,2007,0.0
0,0,0,1,118.17391304347827,3.3043478260869565,2.0,0.25,13,5,3,0,655.2,1,375,13,2008,0.0
0,0,0,1,105.95833333333333,2.9583333333333335,2.0416666666666665,0.2,30,6,4,0,81.1,1,27,13,2009,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1276.2,2,316,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,1241.1,2,159,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,0,3,3,0,791.2,2,112,0,2004,0.0
0,0,0,1,121.0,3.2083333333333335,2.4583333333333335,0.0,0,4,4,0,920.0,2,142,0,2005,0.0
0,0,0,1,102.17857142857143,3.1785714285714284,2.607142857142857,0.0,0,5,5,0,812.2,2,141,0,2006,0.0
0,0,0,1,104.70833333333333,3.7083333333333335,3.0,0.0,0,6,6,0,724.1,2,108,0,2007,0.0
0,0,0,1,107.07142857142857,4.5,3.2857142857142856,0.0,4,7,7,0,689.1,2,145,0,2008,1.0
0,0,0,1,106.38095238095238,4.333333333333333,2.1904761904761907,0.14285714285714285,9,8,1,0,1026.1,2,135,4,2009,1.0
0,0,0,1,105.32,5.72,2.56,0.25,30,9,1,0,189.0,2,80,9,2010,1.0
0,0,1,0,113.81818181818181,1.0,1.0,0.0,0,1,1,32,188.1,3,32,0,2002,0.0
0,0,1,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,19,92.2,3,19,0,2003,1.0
0,1,0,0,116.75,2.3333333333333335,2.0,0.0,30,1,1,0,292.0,6,57,28,2004,1.0
0,1,0,0,109.81818181818181,4.181818181818182,2.3181818181818183,1.0,12,2,1,0,321.2,6,50,12,2007,0.0
0,1,0,0,108.96,4.32,2.64,0.5,30,3,2,0,246.0,6,48,12,2008,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1276.1,10,152,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,985.0,10,120,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,6,3,3,0,1191.2,10,142,0,2004,1.0
0,0,0,1,120.3913043478261,3.0869565217391304,1.8695652173913044,0.3333333333333333,6,4,1,0,1340.2,10,158,6,2005,0.0
0,0,0,1,127.66666666666667,3.5416666666666665,2.0833333333333335,0.25,6,5,2,0,1029.0,10,123,6,2006,0.0
0,0,0,1,107.64285714285714,4.142857142857143,2.142857142857143,0.2,3,6,3,0,943.2,10,117,6,2007,1.0
0,0,0,1,106.54166666666667,4.791666666666667,2.5833333333333335,0.3333333333333333,17,7,1,0,636.1,10,94,3,2008,1.0
0,0,0,1,106.26666666666667,3.4,2.1,0.42857142857142855,17,8,1,0,1093.1,10,136,17,2009,0.0
0,0,0,1,113.12,4.28,2.0,0.375,30,9,2,0,967.1,10,116,17,2010,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1227.2,11,150,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,559.1,11,67,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,0,3,3,0,1065.1,11,125,0,2004,0.0
0,0,0,1,121.0,3.2083333333333335,2.4583333333333335,0.0,0,4,4,0,1279.1,11,153,0,2005,0.0
0,0,0,1,102.17857142857143,3.1785714285714284,2.607142857142857,0.0,28,5,5,0,219.2,11,40,0,2006,1.0
0,0,0,1,101.77272727272727,4.2727272727272725,2.727272727272727,0.2,1,6,1,0,620.4,11,261,28,2007,1.0
0,0,0,1,101.91666666666667,4.541666666666667,2.0833333333333335,0.3333333333333333,1,7,1,0,575.1,11,420,1,2008,0.0
0,0,0,1,100.86363636363636,5.136363636363637,2.3181818181818183,0.2857142857142857,30,8,2,0,159.3,11,214,1,2009,1.0
0,1,0,0,110.6923076923077,1.0,1.0,0.0,30,1,1,0,363.0,12,65,5,2002,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,211.1,13,130,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,0,148.2,13,63,0,2003,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,253.29999999999998,14,122,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,0,293.4,14,124,0,2003,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1335.1,15,156,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,732.1,15,91,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,8,3,3,0,165.0,15,58,0,2004,1.0
0,0,0,1,135.56521739130434,3.0,1.7391304347826086,0.3333333333333333,3,4,1,0,1264.0,15,149,8,2005,1.0
0,0,0,1,124.95238095238095,3.8095238095238093,2.4761904761904763,0.5,3,5,1,0,1175.0,15,153,3,2006,0.0
0,0,0,1,105.04347826086956,3.6956521739130435,2.4782608695652173,0.4,6,6,2,0,928.0,15,115,3,2007,1.0
0,0,0,1,150.8181818181818,4.5,2.1818181818181817,0.5,4,7,1,0,1243.1,15,151,6,2008,1.0
0,0,0,1,126.21739130434783,4.913043478260869,2.5217391304347827,0.5714285714285714,30,8,1,0,936.1,15,128,4,2010,1.0
1,0,0,0,95.82608695652173,3.608695652173913,2.391304347826087,0.0,20,1,1,0,69.1,18,70,20,2010,0.0
1,0,0,0,138.9047619047619,4.809523809523809,3.0476190476190474,0.0,30,2,2,0,62.1,18,64,20,2011,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1110.0,19,144,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,1119.2,19,143,0,2003,0.0
0,0,0,1,105.28,2.56,2.12,0.0,0,3,3,0,1225.0,19,144,0,2004,0.0
0,0,0,1,121.0,3.2083333333333335,2.4583333333333335,0.0,0,4,4,0,1107.2,19,129,0,2005,0.0
0,0,0,1,102.17857142857143,3.1785714285714284,2.607142857142857,0.0,6,5,5,0,1140.2,19,139,0,2006,1.0
0,0,0,1,107.64285714285714,4.142857142857143,2.142857142857143,0.2,6,6,1,0,630.1,19,87,6,2007,0.0
0,0,0,1,150.8181818181818,4.5,2.1818181818181817,0.16666666666666666,2,7,2,0,635.2,19,115,6,2008,1.0
0,0,0,1,86.0,3.16,1.96,0.2857142857142857,15,8,1,0,1112.2,19,258,2,2009,1.0
0,0,0,1,125.79166666666667,4.5,2.0416666666666665,0.375,12,9,1,0,741.1,19,270,15,2010,1.0
0,0,0,1,82.67857142857143,4.964285714285714,2.2142857142857144,0.4444444444444444,9,10,1,0,721.4,19,342,12,2011,1.0
0,0,0,1,117.04545454545455,6.681818181818182,2.272727272727273,0.5,30,11,1,0,343.2,19,172,9,2012,1.0
1,0,0,0,113.81818181818181,1.0,1.0,0.0,26,1,1,0,63.2,20,52,0,2002,1.0
1,0,0,0,113.83333333333333,2.4583333333333335,1.75,1.0,30,2,1,0,70.2,20,65,26,2004,1.0
0,1,0,0,113.81818181818181,1.0,1.0,0.0,0,1,1,0,1014.1,24,122,0,2002,0.0
0,1,0,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,949.2,24,119,0,2003,0.0
0,1,0,0,105.28,2.56,2.12,0.0,0,3,3,0,762.0,24,97,0,2004,0.0
0,1,0,0,121.0,3.2083333333333335,2.4583333333333335,0.0,3,4,4,0,873.1,24,119,0,2005,1.0
0,1,0,0,124.95238095238095,3.8095238095238093,2.4761904761904763,0.25,10,5,1,0,842.0,24,117,3,2006,1.0
0,1,0,0,126.77272727272727,3.727272727272727,2.1363636363636362,0.4,10,6,1,0,1104.0,24,134,10,2007,0.0
0,1,0,0,108.1923076923077,3.269230769230769,1.8461538461538463,0.3333333333333333,10,7,2,0,1128.1,24,145,10,2008,0.0
0,1,0,0,118.68,4.2,2.08,0.2857142857142857,10,8,3,0,1042.0,24,132,10,2009,0.0
0,1,0,0,129.25,4.958333333333333,2.4583333333333335,0.25,30,9,4,0,897.2,24,118,10,2010,1.0
0,1,0,0,113.81818181818181,1.0,1.0,0.0,0,1,1,0,210.0,25,29,0,2002,0.0
0,1,0,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,0,332.0,25,53,0,2003,0.0
0,1,0,0,105.28,2.56,2.12,0.0,0,3,3,0,524.1,25,73,0,2004,0.0
0,1,0,0,121.0,3.2083333333333335,2.4583333333333335,0.0,0,4,4,0,480.1,25,75,0,2005,0.0
0,1,0,0,102.17857142857143,3.1785714285714284,2.607142857142857,0.0,29,5,5,0,603.1,25,78,0,2006,1.0
0,1,0,0,97.86363636363636,4.545454545454546,2.772727272727273,0.2,29,6,1,0,492.1,25,69,29,2007,0.0
0,1,0,0,88.63636363636364,5.136363636363637,3.3181818181818183,0.16666666666666666,29,7,2,0,737.0,25,100,29,2008,0.0
0,1,0,0,129.76190476190476,5.238095238095238,2.9523809523809526,0.14285714285714285,3,8,3,0,356.2,25,52,29,2009,1.0
0,1,0,0,116.66666666666667,4.791666666666667,2.625,0.25,3,9,1,0,444.2,25,57,3,2010,0.0
0,1,0,0,107.43478260869566,4.0,2.1739130434782608,0.2222222222222222,21,10,2,0,399.0,25,55,3,2011,1.0
0,1,0,0,133.36,4.32,2.48,0.3,21,11,1,0,709.2,25,102,21,2012,0.0
0,1,0,0,129.04166666666666,4.75,2.5,0.2727272727272727,21,12,2,0,749.1,25,99,21,2013,0.0
0,1,0,0,125.24,5.16,2.8,0.25,30,13,3,0,628.1,25,80,21,2014,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,30,1,1,0,198.2,26,90,0,2002,1.0
0,0,1,0,113.81818181818181,1.0,1.0,0.0,0,1,1,32,217.1,27,32,0,2002,0.0
0,0,1,0,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,0,2,2,32,180.0,27,32,0,2003,0.0
0,0,1,0,105.28,2.56,2.12,0.0,23,3,3,14,79.0,27,14,0,2004,1.0
0,0,1,0,129.0909090909091,3.0,2.227272727272727,0.3333333333333333,15,4,1,30,171.1,27,30,23,2005,1.0
0,0,1,0,89.41666666666667,3.6666666666666665,1.8333333333333333,0.5,30,5,1,33,190.2,27,33,15,2006,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,6,1,1,0,583.2,28,330,0,2002,1.0
0,0,0,1,122.30434782608695,1.7826086956521738,1.608695652173913,1.0,1,2,1,0,621.5,28,423,6,2003,1.0
0,0,0,1,132.7391304347826,2.5652173913043477,2.130434782608696,1.0,1,3,1,0,141.3,28,204,1,2004,0.0
0,0,0,1,127.83333333333333,2.7083333333333335,2.4166666666666665,0.6666666666666666,30,4,2,0,336.2,28,228,1,2005,1.0
0,0,0,1,113.81818181818181,1.0,1.0,0.0,0,1,1,0,918.2,32,138,0,2002,0.0
0,0,0,1,103.66666666666667,1.7037037037037037,1.6666666666666667,0.0,30,2,2,0,604.1,32,148,0,2003,1.0
0,0,1,0,113.81818181818181,1.0,1.0,0.0,28,1,1,15,90.1,33,15,0,2002,1.0
0,0,1,0,116.75,2.3333333333333335,2.0,1.0,30,2,1,19,111.2,33,19,28,2004,1.0
0,0,1,0,113.81818181818181,1.0,1.0,0.0,0,1,1,26,160.0,34,26,0,2002,0.0
